Id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Rumput_Laut,Tahun,Volume_Produksi_Ton,Nilai_Produksi_Rp_Juta,Total_Luas_Lahan_m2
1,51,BALI,BULELENG,RUMPUT LAUT COTTONII,2019,40,81,10751000
2,51,BALI,KLUNGKUNG,RUMPUT LAUT COTTONII,2019,465,676,10751000
3,51,BALI,KLUNGKUNG,RUMPUT LAUT SPINOSUM,2019,36,66,10751000
4,51,BALI,KOTA DENPASAR,RUMPUT LAUT COTTONII,2019,307,460,10751000
5,36,BANTEN,PANDEGLANG,RUMPUT LAUT COTTONII,2019,30,60,952050000
6,36,BANTEN,PANDEGLANG,RUMPUT LAUT SPINOSUM,2019,52,156,952050000
7,36,BANTEN,SERANG,RUMPUT LAUT COTTONII,2019,11905,17858,952050000
8,36,BANTEN,SERANG,RUMPUT LAUT SPINOSUM,2019,10016,15024,952050000
9,36,BANTEN,TANGERANG,RUMPUT LAUT GRACILARIA,2019,431,1724,952050000
10,17,BENGKULU,KAUR,RUMPUT LAUT COTTONII,2019,60,1500,20000000
11,31,DKI JAKARTA,ADM KEP SERIBU,RUMPUT LAUT COTTONII,2019,253,2028,50000
12,75,GORONTALO,GORONTALO UTARA,RUMPUT LAUT COTTONII,2019,7196,35982,413500000
13,75,GORONTALO,GORONTALO UTARA,RUMPUT LAUT SPINOSUM,2019,2100,10500,413500000
14,75,GORONTALO,PAHUWATO,RUMPUT LAUT COTTONII,2019,7,21,413500000
15,75,GORONTALO,PAHUWATO,RUMPUT LAUT SPINOSUM,2019,25,75,413500000
16,33,JAWA TENGAH,BREBES,RUMPUT LAUT COTTONII,2019,10559,10559,1696000000
17,33,JAWA TENGAH,JEPARA,RUMPUT LAUT COTTONII,2019,6543,9815,1696000000
18,33,JAWA TENGAH,JEPARA,RUMPUT LAUT SPINOSUM,2019,10065,18118,1696000000
19,35,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT COTTONII,2019,1027,2260,198467900
20,35,JAWA TIMUR,BANYUWANGI,RUMPUT LAUT SPINOSUM,2019,1714,3771,198467900
21,35,JAWA TIMUR,PACITAN,RUMPUT LAUT COTTONII,2019,1,5,198467900
22,35,JAWA TIMUR,PACITAN,RUMPUT LAUT SPINOSUM,2019,55,278,198467900
23,35,JAWA TIMUR,PAMEKASAN,RUMPUT LAUT COTTONII,2019,403,1413,198467900
24,35,JAWA TIMUR,PAMEKASAN,RUMPUT LAUT SPINOSUM,2019,331,653,198467900
25,35,JAWA TIMUR,SITUBONDO,RUMPUT LAUT COTTONII,2019,51,72,198467900
26,35,JAWA TIMUR,SUMENEP,RUMPUT LAUT COTTONII,2019,670453,3352265,198467900
27,61,KALIMANTAN BARAT,BENGKAYANG,RUMPUT LAUT SPINOSUM,2019,20,500,2000000
